        Date        hcnps_intlk_chiller_EZ_read_chiller_temp
2023-10-05 13:57:25                                    20.07
2023-10-05 13:58:18                                    20.03
2023-10-05 13:59:12                                    20.06
2023-10-05 13:59:39                                    20.03
2023-10-05 14:00:33                                    20.06
2023-10-05 14:01:00                                    20.03
2023-10-05 14:08:10                                    20.06
2023-10-05 14:08:37                                    20.02
2023-10-05 14:09:31                                    20.05
2023-10-05 14:18:02                                    20.02
2023-10-05 14:19:22                                    20.05
2023-10-05 14:19:49                                    20.02
2023-10-05 14:20:43                                    20.05
2023-10-05 14:26:59                                    20.02
2023-10-05 14:29:14                                    20.05
2023-10-05 14:30:34                                    20.01
2023-10-05 14:31:01                                    20.05
2023-10-05 14:32:22                                    20.02
2023-10-05 14:32:49                                    20.05
2023-10-05 14:34:10                                       20
2023-10-05 14:34:37                                    20.03
2023-10-05 14:44:28                                       20
2023-10-05 14:48:03                                    20.03
2023-10-05 14:53:53                                    19.99
2023-10-05 14:54:20                                    20.03
2023-10-05 14:55:40                                       20
2023-10-05 14:58:22                                    20.03
2023-10-05 14:58:49                                       20
2023-10-05 15:03:44                                    20.05
2023-10-05 15:04:11                                    20.01
2023-10-05 15:05:32                                    20.04
2023-10-05 15:14:29                                    20.07
2023-10-05 15:15:23                                    20.03
2023-10-05 15:18:05                                    20.06
2023-10-05 15:18:58                                    20.03
2023-10-05 15:19:52                                    20.06
2023-10-05 15:20:46                                    20.02
2023-10-05 15:21:40                                    20.07
2023-10-05 15:22:07                                    20.03
2023-10-05 15:29:17                                    20.06
2023-10-05 15:31:31                                    20.03
2023-10-05 15:36:00                                    20.06
2023-10-05 15:36:27                                    20.03
2023-10-05 15:40:29                                       20
2023-10-05 15:41:23                                    20.03
2023-10-05 15:42:17                                       20
2023-10-05 15:45:52                                    19.97
2023-10-05 15:46:45                                       20
2023-10-05 15:47:39                                    19.97
2023-10-05 15:48:06                                       20
2023-10-05 15:48:33                                    20.03
2023-10-05 15:49:27                                       20
2023-10-05 15:50:21                                    20.03
2023-10-05 15:51:14                                    19.99
2023-10-05 15:52:08                                    20.02
2023-10-05 15:54:50                                    19.98
2023-10-05 15:55:43                                    20.02
2023-10-05 15:57:04                                    19.99
2023-10-05 15:57:31                                    20.03
2023-10-05 16:01:33                                       20
2023-10-05 16:07:23                                    19.97
2023-10-05 16:08:16                                       20
2023-10-05 16:09:10                                    19.97
2023-10-05 16:10:31                                       20
2023-10-05 16:10:58                                    19.97
2023-10-05 16:11:52                                       20
2023-10-05 16:18:35                                    19.97
2023-10-05 16:20:49                                    20.01
2023-10-05 16:21:43                                    19.99
2023-10-05 16:22:37                                    20.01
2023-10-05 16:23:31                                    19.99
2023-10-05 16:28:00                                    20.01
2023-10-05 16:28:53                                    19.99
2023-10-05 16:32:29                                    19.95
2023-10-05 16:33:22                                    19.99
2023-10-05 16:33:49                                    20.01
2023-10-05 16:34:16                                    19.98
2023-10-05 16:44:35                                    20.01
2023-10-05 16:45:28                                    19.98
2023-10-05 16:48:10                                    20.01
2023-10-05 16:48:37                                    19.96
2023-10-05 16:49:04                                       20
2023-10-05 16:50:51                                    19.97
2023-10-05 16:51:18                                       20
2023-10-05 16:52:12                                    19.96
2023-10-05 16:53:32                                       20
2023-10-05 16:54:26                                    19.96
2023-10-05 16:55:20                                       20
2023-10-05 17:04:18                                    20.03
2023-10-05 17:05:12                                       20
2023-10-05 17:06:32                                    20.03
2023-10-05 17:06:59                                       20
2023-10-05 17:07:26                                    20.03
2023-10-05 17:08:47                                       20
2023-10-05 17:13:16                                    20.04
2023-10-05 17:13:43                                    20.01
2023-10-05 17:21:47                                    19.99
2023-10-05 17:22:14                                    20.05
2023-10-05 17:22:40                                    20.02
2023-10-05 17:26:42                                    19.99
2023-10-05 17:27:09                                    20.01
2023-10-05 17:28:30                                    19.98
2023-10-05 17:28:57                                    20.01
2023-10-05 17:32:05                                    19.98
2023-10-05 17:32:59                                    20.01
2023-10-05 17:35:40                                    19.99
2023-10-05 17:36:34                                    20.01
2023-10-05 17:40:09                                    20.04
2023-10-05 17:41:03                                    20.01
2023-10-05 17:43:44                                    20.04
2023-10-05 17:47:46                                    20.07
2023-10-05 17:48:13                                    20.01
2023-10-05 17:49:07                                    20.04
