        Date           ibcm1  
2023-10-10 08:10:09    13.4993
2023-10-10 08:10:11    13.4447
2023-10-10 08:10:13    13.8868
2023-10-10 08:10:15    13.8249
2023-10-10 08:10:17    13.7702
2023-10-10 08:10:19    13.9713
2023-10-10 08:10:21    13.8456
2023-10-10 08:10:23    14.0121
2023-10-10 08:10:27    13.9423
2023-10-10 08:10:29    13.8928
2023-10-10 08:10:31    13.9951
2023-10-10 08:10:33    14.0558
2023-10-10 08:10:37    14.2214
2023-10-10 08:10:39     14.175
2023-10-10 08:10:41    14.0812
2023-10-10 08:10:45    14.1646
2023-10-10 08:10:47    14.0127
2023-10-10 08:10:49    13.6841
2023-10-10 08:10:51    13.5998
2023-10-10 08:10:53    13.5719
2023-10-10 08:10:55    13.5264
2023-10-10 08:10:57    13.5499
2023-10-10 08:10:59    13.6017
2023-10-10 08:11:01    13.7263
2023-10-10 08:11:03    13.5422
2023-10-10 08:11:05    13.7337
2023-10-10 08:11:07    13.6196
2023-10-10 08:11:11     13.785
2023-10-10 08:11:13    13.6255
2023-10-10 08:11:15    13.8189
2023-10-10 08:11:17    13.5966
2023-10-10 08:11:19    13.9781
2023-10-10 08:11:21    13.9341
2023-10-10 08:11:23    13.8377
2023-10-10 08:11:25     13.919
2023-10-10 08:11:27     14.032
2023-10-10 08:11:29    14.0444
2023-10-10 08:11:31    14.1489
2023-10-10 08:11:33     13.949
2023-10-10 08:11:35    14.0075
2023-10-10 08:11:37    13.9692
2023-10-10 08:11:41    14.0225
2023-10-10 08:11:43    13.7051
2023-10-10 08:11:45    13.6743
2023-10-10 08:11:47    13.7413
2023-10-10 08:11:49    13.5511
2023-10-10 08:11:51    13.5286
2023-10-10 08:11:53     13.582
2023-10-10 08:11:55    13.4864
2023-10-10 08:11:57    13.5726
2023-10-10 08:11:59    13.8339
2023-10-10 08:12:03    13.6835
2023-10-10 08:12:05    13.7372
2023-10-10 08:12:07    13.5623
2023-10-10 08:12:09    13.6207
2023-10-10 08:12:11    13.4858
2023-10-10 08:12:13    13.6095
2023-10-10 08:12:15    13.6586
2023-10-10 08:12:17    13.5636
2023-10-10 08:12:19    13.5989
2023-10-10 08:12:23     13.744
2023-10-10 08:12:25    13.4176
2023-10-10 08:12:29    13.5798
2023-10-10 08:12:31    13.8588
2023-10-10 08:12:33    13.6707
2023-10-10 08:12:35     14.071
2023-10-10 08:12:39    14.1114
2023-10-10 08:12:41    14.1982
2023-10-10 08:12:43    14.0815
2023-10-10 08:12:45    14.0147
2023-10-10 08:12:47    13.9984
2023-10-10 08:12:51     14.032
2023-10-10 08:12:53    14.0437
2023-10-10 08:12:55    13.8838
2023-10-10 08:12:57    14.0744
2023-10-10 08:12:59    13.8286
2023-10-10 08:13:01    13.6493
2023-10-10 08:13:03    13.7848
2023-10-10 08:13:05    13.6895
2023-10-10 08:13:07    13.6479
2023-10-10 08:13:09    13.6737
2023-10-10 08:13:11    13.4948
2023-10-10 08:13:13    13.5574
2023-10-10 08:13:15     13.844
2023-10-10 08:13:17    13.9202
2023-10-10 08:13:19    13.7052
2023-10-10 08:13:23     13.723
2023-10-10 08:13:25    13.8172
2023-10-10 08:13:27    13.8937
2023-10-10 08:13:31    13.8039
2023-10-10 08:13:33    13.8737
2023-10-10 08:13:35    14.0625
2023-10-10 08:13:37    14.1268
2023-10-10 08:13:39    13.8401
2023-10-10 08:13:41    14.0807
2023-10-10 08:13:43    14.1062
2023-10-10 08:13:45    14.0568
2023-10-10 08:13:47     13.802
2023-10-10 08:13:49    13.5714
2023-10-10 08:13:53    13.5487
2023-10-10 08:13:55    13.6916
2023-10-10 08:13:57      13.59
2023-10-10 08:13:59     13.676
2023-10-10 08:14:01    13.4606
2023-10-10 08:14:03    13.5941
2023-10-10 08:14:05    13.5749
2023-10-10 08:14:07    13.7973
2023-10-10 08:14:09    13.9597
2023-10-10 08:14:11    13.8313
2023-10-10 08:14:13    13.6467
2023-10-10 08:14:15    13.6938
2023-10-10 08:14:17    13.7198
2023-10-10 08:14:19     13.814
2023-10-10 08:14:21    13.5527
2023-10-10 08:14:23    13.9281
2023-10-10 08:14:25    13.9716
2023-10-10 08:14:27    13.7858
2023-10-10 08:14:29    13.9224
2023-10-10 08:14:33    13.9487
2023-10-10 08:14:35    13.9176
2023-10-10 08:14:37    13.8207
2023-10-10 08:14:39    13.7697
2023-10-10 08:14:41    13.6163
2023-10-10 08:14:45    13.8197
2023-10-10 08:14:47     13.792
