        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 07:53:54                                       20
2023-11-09 07:54:48                                    19.97
2023-11-09 07:56:09                                    19.94
2023-11-09 08:02:52                                    19.97
2023-11-09 08:03:19                                    19.94
2023-11-09 08:04:40                                    19.97
2023-11-09 08:06:55                                    19.94
2023-11-09 08:08:15                                    19.97
2023-11-09 08:09:09                                    19.94
2023-11-09 08:11:51                                    19.97
2023-11-09 08:12:44                                    19.94
2023-11-09 08:13:38                                    19.97
2023-11-09 08:15:26                                    20.01
2023-11-09 08:15:53                                    19.96
2023-11-09 08:16:20                                    19.99
2023-11-09 08:17:14                                    20.02
2023-11-09 08:18:34                                    20.06
2023-11-09 08:19:01                                    20.09
2023-11-09 08:19:55                                    20.06
2023-11-09 08:20:49                                     20.1
2023-11-09 08:21:16                                    20.06
2023-11-09 08:25:18                                    20.03
2023-11-09 08:25:45                                    20.06
2023-11-09 08:29:20                                    20.02
2023-11-09 08:30:41                                    19.96
2023-11-09 08:33:23                                       20
2023-11-09 08:34:16                                    19.97
2023-11-09 08:36:04                                    19.93
2023-11-09 08:36:58                                    19.96
2023-11-09 08:39:12                                    19.99
2023-11-09 08:44:35                                    20.01
2023-11-09 08:45:02                                    19.99
2023-11-09 08:46:23                                    20.01
2023-11-09 08:47:17                                    19.99
2023-11-09 08:47:44                                    20.01
2023-11-09 08:49:05                                    19.99
2023-11-09 08:49:31                                    20.01
2023-11-09 08:49:58                                    19.99
2023-11-09 08:50:52                                    19.92
2023-11-09 08:51:46                                    19.95
2023-11-09 08:52:13                                    19.92
2023-11-09 08:53:34                                    19.96
2023-11-09 08:54:27                                    19.91
2023-11-09 08:54:54                                    19.96
2023-11-09 09:00:44                                    19.99
2023-11-09 09:11:30                                    20.04
2023-11-09 09:13:18                                    20.08
2023-11-09 09:13:45                                    20.05
2023-11-09 09:14:11                                    20.01
2023-11-09 09:15:05                                    20.04
2023-11-09 09:15:59                                       20
2023-11-09 09:16:26                                    20.03
2023-11-09 09:19:07                                    20.07
